community,,start,end
6_215,0,23950000.0,26150000.0
6_215,1,30565000.0,40040000.0
6_215,2,40625000.0,45820000.0
6_339,0,51510000.0,55775000.0
6_363,0,44460000.0,46040000.0
6_372,0,72835000.0,77745000.0
6_60,0,5315000.0,9185000.0
6_63,0,4400000.0,6540000.0
6_63,1,7510000.0,13255000.0
6_755,0,82115000.0,93110000.0
6_79,0,1980000.0,6905000.0
6_79,1,9835000.0,11635000.0
6_807,0,143470000.0,146430000.0
6_969,0,104595000.0,111065000.0
6_969,1,113225000.0,117335000.0
6_98,0,13625000.0,19830000.0
6_981,0,117460000.0,123715000.0
6_984,0,23405000.0,30070000.0
7_1072,0,81995000.0,92685000.0
7_1129,0,147800000.0,149890000.0
7_1189,0,137505000.0,141055000.0
7_1231,0,80540000.0,82560000.0
7_1434,0,119115000.0,126995000.0
7_1464,0,115235000.0,121740000.0
7_148,0,76060000.0,77390000.0
7_1493,0,35010000.0,43115000.0
7_1498,0,95095000.0,98295000.0
7_1545,0,147180000.0,154700000.0
7_1559,0,129340000.0,136085000.0
7_1559,1,136085000.0,140215000.0
7_1575,0,135205000.0,138755000.0
7_1601,0,126530000.0,134195000.0
7_1602,0,142355000.0,145375000.0
7_1731,0,35045000.0,39155000.0
7_212,0,102520000.0,108740000.0
7_344,0,13800000.0,30475000.0
7_371,0,31380000.0,34545000.0
7_379,0,26130000.0,28460000.0
7_395,0,29045000.0,32395000.0
7_438,0,10030000.0,12055000.0
7_5,0,545000.0,14340000.0
7_532,0,27525000.0,30340000.0
7_535,0,28580000.0,33190000.0
7_535,1,41340000.0,51345000.0
7_536,0,41410000.0,43990000.0
7_570,0,141900000.0,143620000.0
7_839,0,63780000.0,67845000.0
7_841,0,66255000.0,72785000.0
7_910,0,63365000.0,67345000.0
7_910,1,71420000.0,77955000.0
7_910,2,96365000.0,103130000.0
7_940,0,138190000.0,142225000.0
7_980,0,112870000.0,116365000.0
8_1135,0,47370000.0,49595000.0
8_1225,0,84685000.0,87505000.0
8_1226,0,57200000.0,59865000.0
8_1229,0,55500000.0,57875000.0
8_1317,0,62155000.0,64695000.0
8_1318,0,93530000.0,99415000.0
8_1349,0,89205000.0,92430000.0
8_1350,0,125475000.0,127500000.0
8_1380,0,130555000.0,132030000.0
8_1408,0,74995000.0,78210000.0
8_160,0,1790000.0,6135000.0
8_160,1,6630000.0,8480000.0
8_160,2,11345000.0,14085000.0
8_160,3,14620000.0,20755000.0
8_1681,0,36630000.0,40490000.0
8_1698,0,75755000.0,83900000.0
8_1714,0,113680000.0,115825000.0
8_1714,1,123165000.0,126020000.0
8_1715,0,58050000.0,61250000.0
8_1762,0,125070000.0,128035000.0
8_1777,0,115855000.0,122305000.0
8_1781,0,122815000.0,134765000.0
8_1792,0,135580000.0,137730000.0
8_1852,0,98110000.0,107775000.0
8_1931,0,135615000.0,144800000.0
8_336,0,53160000.0,56255000.0
8_384,0,16990000.0,26210000.0
8_455,0,21195000.0,34755000.0
8_593,0,42335000.0,43835000.0
8_6,0,6925000.0,11195000.0
8_600,0,5025000.0,8085000.0
8_600,1,8610000.0,13055000.0
8_691,0,5400000.0,7175000.0
8_86,0,119445000.0,127825000.0
8_86,1,130885000.0,141200000.0
8_865,0,57870000.0,64395000.0
8_865,1,64980000.0,72535000.0
8_945,0,39525000.0,43530000.0
8_981,0,64805000.0,67560000.0
8_981,1,67560000.0,75285000.0
9_1056,0,107275000.0,110220000.0
9_1057,0,111125000.0,117225000.0
9_1204,0,115110000.0,118375000.0
9_1205,0,121085000.0,125005000.0
9_1235,0,126030000.0,130180000.0
9_1243,0,90515000.0,93620000.0
9_1251,0,127825000.0,133415000.0
9_208,0,38285000.0,42030000.0
9_208,1,43355000.0,47300000.0
9_210,0,74365000.0,80200000.0
9_23,0,1105000.0,9920000.0
9_253,0,15210000.0,18210000.0
9_260,0,32385000.0,36995000.0
9_285,0,17405000.0,20005000.0
9_33,0,17525000.0,23605000.0
9_598,0,36125000.0,40350000.0
9_607,0,71835000.0,76025000.0
9_615,0,107180000.0,112680000.0
9_626,0,121760000.0,129580000.0
9_632,0,38610000.0,47305000.0
9_632,1,65625000.0,72130000.0
9_633,0,38295000.0,46910000.0
9_633,1,65490000.0,71605000.0
9_674,0,71030000.0,73515000.0
9_698,0,93805000.0,98730000.0
9_716,0,89030000.0,92340000.0
9_752,0,116635000.0,122920000.0
9_884,0,85385000.0,91300000.0
9_949,0,96910000.0,98830000.0
9_977,0,100960000.0,104320000.0
9_978,0,93670000.0,104335000.0
X_1127,0,2915000.0,8140000.0
X_1399,0,127540000.0,130175000.0
X_141,0,46990000.0,50845000.0
X_169,0,9470000.0,18465000.0
X_189,0,16460000.0,21220000.0
X_189,1,23005000.0,25945000.0
X_268,0,150710000.0,154065000.0
X_327,0,4770000.0,11220000.0
X_489,0,38545000.0,42070000.0
X_489,1,42885000.0,45355000.0
X_519,0,45145000.0,47385000.0
X_619,0,61680000.0,64870000.0
