community,,start,end
X_1,0,10105000.0,25250000.0
X_2,0,24375000.0,38020000.0
X_3,0,37055000.0,58950000.0
X_4,0,62505000.0,73175000.0
X_5,0,72360000.0,91880000.0
X_6,0,89060000.0,104005000.0
X_7,0,102680000.0,120165000.0
