community,,start,end
9_1,0,6540000.0,22470000.0
9_1,1,38215000.0,43215000.0
9_10,0,91570000.0,98835000.0
9_11,0,98055000.0,109760000.0
9_12,0,108435000.0,114130000.0
9_13,0,113595000.0,120565000.0
9_14,0,120020000.0,130030000.0
9_2,0,21950000.0,33510000.0
9_2,1,38270000.0,43260000.0
9_2,2,62145000.0,64400000.0
9_2,3,64400000.0,66895000.0
9_3,0,32455000.0,40195000.0
9_7,0,40700000.0,42355000.0
9_7,1,64820000.0,77665000.0
9_8,0,77075000.0,84875000.0
9_9,0,84310000.0,92675000.0
